parent_location_name,location_name,current_emergency_department_name,emergency_department_current_care_area,last_update,encounter_count
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPT ADULT,Resuscitation,2026-06-10 21:33:50,31
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT MAIN,Pediatric ED,2026-06-10 20:13:39,21
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPT ADULT,Resuscitation,2026-06-10 22:36:24,37
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPT PEDS,Behavioral Health,2026-06-10 22:08:42,6
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT MAIN,Behavioral Health,2026-06-10 21:28:18,36
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Fast Track,2026-06-10 23:21:06,33
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Main ED,2026-06-10 22:32:52,44
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPT PEDS,Triage,2026-06-10 20:54:40,24
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT,Resuscitation,2026-06-10 20:22:43,20
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT,Behavioral Health,2026-06-10 20:55:57,44
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPT ADULT,Resuscitation,2026-06-10 22:40:56,19
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPT ADULT,Pediatric ED,2026-06-10 21:04:32,37
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPT PEDS,Fast Track,2026-06-10 22:20:55,2
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPT ADULT,Hallway,2026-06-10 23:45:21,1
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Triage,2026-06-10 20:55:06,7
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPT PEDS,Resuscitation,2026-06-10 23:08:07,37
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPT PEDS,Behavioral Health,2026-06-10 23:27:22,42
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT,Pediatric ED,2026-06-10 21:28:57,40
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT,Main ED,2026-06-10 21:46:06,6
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPT PEDS,Results Waiting,2026-06-10 23:18:12,32
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT MAIN,Fast Track,2026-06-10 20:27:16,38
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPT PEDS,Observation,2026-06-10 21:07:39,3
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPT PEDS,Triage,2026-06-10 20:22:52,14
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Observation,2026-06-10 21:54:06,18
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Main ED,2026-06-10 21:56:25,4
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT MAIN,Hallway,2026-06-10 22:25:09,17
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT MAIN,Observation,2026-06-10 19:58:16,37
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPT ADULT,Hallway,2026-06-10 21:24:41,3
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT MAIN,Results Waiting,2026-06-10 22:35:31,39
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Resuscitation,2026-06-10 22:26:37,6
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT,Resuscitation,2026-06-10 22:31:15,10
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Hallway,2026-06-10 20:19:49,12
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT,Pediatric ED,2026-06-10 22:23:27,4
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT MAIN,Hallway,2026-06-10 22:49:30,14
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT MAIN,Behavioral Health,2026-06-10 21:55:26,42
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPT PEDS,Hallway,2026-06-10 23:05:25,45
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Main ED,2026-06-10 23:09:02,5
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT,Trauma Bay,2026-06-10 23:44:43,33
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPT ADULT,Observation,2026-06-10 23:09:22,31
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT,Hallway,2026-06-10 22:57:20,28
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Main ED,2026-06-10 23:27:58,26
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPT ADULT,Fast Track,2026-06-10 22:08:11,17
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Trauma Bay,2026-06-10 20:05:15,26
